real_timestamp,TXSpot,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
2.14463,1,82,-96,4,0,0,0,0,0,0,0,0,0,16,3,17,4,17,4,16,5,16,5,16,6,15,7,15,7,15,7,15,7,14,7,14,7,14,8,13,8,13,8,13,7,13,8,12,7,13,8,12,7,13,7,13,6,13,6,14,6,14,6,14,6,0,0,14,6,14,6,15,6,14,4,15,5,15,6,15,5,15,4,16,4,16,4,16,3,17,4,18,4,19,4,18,4,19,3,19,3,19,3,19,4,20,4,20,4,20,4,20,4,21,3,20,4,20,4,0,0,0,0,0,0,0,0,0,0
2.15603,1,37,80,2,0,0,0,0,0,0,0,0,0,19,-11,20,-9,20,-9,20,-7,20,-7,19,-6,19,-6,19,-4,19,-4,18,-4,19,-3,18,-4,18,-4,17,-4,17,-3,17,-4,17,-3,16,-3,16,-4,16,-4,16,-5,17,-5,16,-5,17,-6,17,-6,17,-7,0,0,17,-7,17,-7,18,-8,17,-8,17,-8,18,-9,18,-10,18,-10,18,-10,19,-11,19,-12,19,-11,19,-12,20,-12,21,-12,21,-13,22,-13,22,-13,23,-13,22,-13,23,-13,23,-13,23,-14,24,-14,23,-13,23,-13,0,0,0,0,0,0,0,0,0,0
2.16259,1,37,80,2,0,0,0,0,0,0,0,0,0,-3,20,-5,18,-5,19,-6,18,-6,18,-7,17,-8,17,-8,16,-8,16,-7,15,-7,16,-7,15,-7,14,-7,15,-7,13,-7,14,-6,14,-6,13,-6,14,-6,14,-6,14,-6,14,-5,14,-4,15,-4,16,-4,16,0,0,-4,16,-3,17,-3,17,-3,16,-3,17,-3,18,-2,18,-2,18,-2,19,-1,19,-1,20,0,20,0,21,-1,22,-1,22,0,23,0,22,-1,23,-1,24,-1,24,-1,24,-2,24,-1,24,0,25,0,24,-1,25,0,0,0,0,0,0,0,0,0,0
2.1696,1,84,-64,4,0,0,0,0,0,0,0,0,0,-19,4,-19,2,-19,3,-19,2,-18,1,-17,0,-17,0,-17,-1,-17,-1,-17,-1,-16,-2,-15,-2,-16,-2,-16,-1,-16,-2,-15,-1,-14,-1,-14,0,-14,0,-14,0,-15,1,-15,0,-15,2,-16,2,-16,2,-16,2,0,0,-16,2,-17,2,-17,2,-16,4,-17,5,-17,3,-18,5,-19,2,-17,11,-18,7,-20,6,-20,6,-21,7,-20,6,-23,7,-22,6,-23,7,-22,7,-24,6,-23,7,-24,6,-25,7,-25,7,-25,7,-25,7,-25,7,0,0,0,0,0,0,0,0,0,0
2.17567,1,84,-64,4,0,0,0,0,0,0,0,0,0,0,19,-1,17,-1,19,-2,18,-2,17,-4,16,-4,17,-4,16,-4,15,-5,14,-5,15,-5,14,-5,14,-4,13,-4,13,-4,14,-4,13,-3,12,-3,12,-2,13,-2,14,-2,13,-1,13,-1,14,-1,15,-1,15,0,0,0,15,1,16,1,16,1,16,1,16,1,16,2,16,2,17,3,18,2,19,3,20,3,19,4,20,4,21,4,21,5,22,5,23,5,23,5,24,4,24,5,24,4,24,4,25,4,26,4,25,4,26,0,0,0,0,0,0,0,0,0,0
2.18108,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,-5,14,-5,14,-4,14,-3,14,-3,14,-3,13,-2,12,-1,13,-2,12,0,12,0,12,0,11,0,11,0,11,0,11,0,11,-1,10,0,10,-1,11,-1,10,-2,11,-2,11,-2,12,-3,12,-3,12,-4,0,0,12,-3,12,-4,13,-3,13,-4,13,-5,13,-5,14,-5,14,-6,15,-5,15,-7,15,-7,16,-6,17,-7,16,-7,17,-7,17,-8,19,-9,18,-8,19,-8,19,-8,20,-8,20,-8,21,-7,21,-8,21,-8,21,-8,0,0,0,0,0,0,0,0,0,0
2.18665,1,84,-64,4,0,0,0,0,0,0,0,0,0,4,17,4,18,2,18,2,19,0,16,0,19,-1,18,-1,15,-3,16,-3,15,-1,15,-2,15,-2,14,-2,13,-3,13,-2,13,-3,13,0,10,0,11,0,11,0,12,1,12,2,11,3,12,4,13,4,13,0,0,5,14,6,14,6,14,4,14,8,13,5,17,8,15,10,16,1,20,7,14,11,15,9,17,10,17,12,21,11,16,13,21,13,20,12,23,15,24,17,20,15,25,16,23,17,21,17,24,19,27,15,24,0,0,0,0,0,0,0,0,0,0
2.19208,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,-8,-8,-10,-8,-9,-7,-10,-7,-10,-5,-10,-5,-11,-4,-9,-6,-10,-3,-10,-4,-9,-3,-9,-3,-10,-2,-9,-2,-10,-2,-8,-3,-8,-3,-8,-3,-7,-2,-8,-3,-8,-3,-8,-4,-7,-5,-7,-4,-7,-5,-8,0,0,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-7,-9,-6,-9,-7,-10,-6,-10,-6,-11,-7,-11,-7,-11,-7,-12,-7,-13,-7,-13,-7,-14,-7,-14,-8,-14,-7,-15,-8,-15,-8,-15,-8,-17,-8,-16,-8,-16,-8,0,0,0,0,0,0,0,0,0,0
2.19923,1,84,-64,4,0,0,0,0,0,0,0,0,0,7,-9,8,-8,9,-8,9,-7,10,-7,10,-5,10,-6,10,-5,10,-4,10,-4,10,-4,10,-3,10,-3,9,-3,9,-2,9,-2,8,-2,8,-2,8,-3,8,-3,7,-3,8,-3,7,-3,7,-4,7,-5,7,-5,0,0,7,-5,7,-6,7,-6,6,-6,7,-7,7,-7,7,-8,6,-8,7,-8,7,-9,7,-10,6,-10,7,-10,7,-11,6,-11,7,-12,7,-13,7,-13,7,-13,8,-14,8,-14,8,-14,8,-15,8,-16,9,-15,8,-16,0,0,0,0,0,0,0,0,0,0
2.21902,1,84,-64,4,0,0,0,0,0,0,0,0,0,13,7,12,7,11,8,11,9,12,10,9,10,9,10,9,11,7,10,7,11,8,10,6,10,6,10,6,10,5,9,4,10,5,9,5,9,4,8,4,7,4,7,5,6,6,6,5,6,6,6,7,5,0,0,7,5,8,5,8,5,9,3,9,4,9,4,10,4,10,2,10,3,11,3,11,2,12,2,13,2,14,2,14,2,14,1,15,2,15,2,16,2,16,2,17,2,17,2,18,2,18,2,18,2,18,2,0,0,0,0,0,0,0,0,0,0
2.23107,1,84,-64,4,0,0,0,0,0,0,0,0,0,-16,1,-16,0,-16,-1,-16,-2,-16,-2,-15,-3,-15,-3,-15,-4,-14,-5,-14,-5,-13,-5,-12,-5,-12,-5,-11,-5,-11,-5,-11,-5,-10,-5,-10,-4,-9,-4,-9,-3,-8,-3,-8,-2,-7,-2,-9,-1,-8,-1,-8,0,0,0,-8,1,-7,2,-8,2,-8,3,-8,3,-8,4,-8,4,-7,4,-7,4,-7,6,-7,7,-7,8,-8,7,-7,8,-7,8,-7,9,-8,10,-8,10,-8,11,-8,11,-8,11,-8,12,-8,13,-8,14,-9,13,-9,14,0,0,0,0,0,0,0,0,0,0
2.24598,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,12,13,13,13,14,12,14,12,14,11,14,10,15,9,15,8,15,8,15,7,14,6,14,6,14,5,13,5,13,6,12,5,11,5,11,5,11,5,9,5,9,5,9,5,8,6,7,5,6,7,6,0,0,7,5,7,5,8,5,8,4,8,4,9,3,9,3,9,2,9,2,9,1,10,1,10,0,11,0,11,0,11,-1,12,-1,12,-2,13,-2,14,-2,14,-4,15,-3,14,-4,15,-4,15,-4,15,-4,15,-5,0,0,0,0,0,0,0,0,0,0
2.25172,1,84,-64,4,0,0,0,0,0,0,0,0,0,18,-12,19,-12,20,-11,21,-10,20,-8,20,-8,20,-6,19,-6,20,-4,19,-5,18,-3,19,-3,17,-3,17,-2,16,-2,15,-1,15,-1,14,-2,14,-3,13,-3,12,-3,12,-3,10,-4,10,-5,10,-5,9,-6,0,0,8,-6,7,-7,8,-7,8,-7,7,-8,6,-8,6,-9,5,-9,5,-10,4,-11,4,-11,3,-12,4,-13,3,-13,3,-14,2,-14,2,-14,1,-15,1,-16,1,-16,0,-16,-1,-16,0,-17,0,-18,-1,-18,-1,-19,0,0,0,0,0,0,0,0,0,0
