real_timestamp,Zone,R1,I1,Mag1,R2,I2,Mag2,R3,I3,Mag3,R4,I4,Mag4,R5,I5,Mag5,R6,I6,Mag6,R7,I7,Mag7,R8,I8,Mag8,R9,I9,Mag9,R10,I10,Mag10,R11,I11,Mag11,R12,I12,Mag12,R13,I13,Mag13,R14,I14,Mag14,R15,I15,Mag15,R16,I16,Mag16,R17,I17,Mag17,R18,I18,Mag18,R19,I19,Mag19,R20,I20,Mag20,R21,I21,Mag21,R22,I22,Mag22,R23,I23,Mag23,R24,I24,Mag24,R25,I25,Mag25,R26,I26,Mag26,R27,I27,Mag27,R28,I28,Mag28,R29,I29,Mag29,R30,I30,Mag30,R31,I31,Mag31,R32,I32,Mag32,R33,I33,Mag33,R34,I34,Mag34,R35,I35,Mag35,R36,I36,Mag36,R37,I37,Mag37,R38,I38,Mag38,R39,I39,Mag39,R40,I40,Mag40,R41,I41,Mag41,R42,I42,Mag42,R43,I43,Mag43,R44,I44,Mag44,R45,I45,Mag45,R46,I46,Mag46,R47,I47,Mag47,R48,I48,Mag48,R49,I49,Mag49,R50,I50,Mag50,R51,I51,Mag51,R52,I52,Mag52,R53,I53,Mag53,R54,I54,Mag54,R55,I55,Mag55,R56,I56,Mag56,R57,I57,Mag57,R58,I58,Mag58,R59,I59,Mag59,R60,I60,Mag60,R61,I61,Mag61,R62,I62,Mag62,R63,I63,Mag63,R64,I64,Mag64
1.57291,1,28,-64,69.85699679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-21,10,23.2594067,-21,10,23.2594067,-20,9,21.9317122,-22,9,23.76972865,-20,7,21.1896201,-21,7,22.13594362,-21,7,22.13594362,-21,6,21.84032967,-21,6,21.84032967,-21,6,21.84032967,-21,7,22.13594362,-22,7,23.08679276,-20,7,21.1896201,-21,6,21.84032967,-22,4,22.36067977,-20,4,20.39607805,-21,5,21.58703314,-18,4,18.43908891,-20,5,20.61552813,-20,2,20.09975124,-20,2,20.09975124,-21,0,21,-19,5,19.6468827,-20,4,20.39607805,-19,8,20.61552813,-19,3,19.23538406,0,0,0,-22,3,22.20360331,-21,1,21.02379604,-20,5,20.61552813,-18,6,18.97366596,-18,8,19.6977156,-20,5,20.61552813,-18,5,18.68154169,-20,3,20.22374842,-20,6,20.88061302,-20,6,20.88061302,-21,7,22.13594362,-20,7,21.1896201,-20,6,20.88061302,-20,5,20.61552813,-19,5,19.6468827,-21,5,21.58703314,-19,6,19.92485885,-20,6,20.88061302,-21,6,21.84032967,-19,6,19.92485885,-20,6,20.88061302,-20,6,20.88061302,-20,7,21.1896201,-20,8,21.54065923,-19,8,20.61552813,-20,7,21.1896201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57948,1,-99,-48,110.0227249,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,-21,5,21.58703314,-23,3,23.19482701,-22,3,22.20360331,-22,3,22.20360331,-22,1,22.02271555,-21,0,21,-22,2,22.09072203,-22,0,22,-21,1,21.02379604,-21,3,21.21320344,-21,2,21.09502311,-21,1,21.02379604,-21,2,21.09502311,-21,2,21.09502311,-21,2,21.09502311,-21,2,21.09502311,-22,0,22,-21,-2,21.09502311,-21,0,21,-21,2,21.09502311,-22,0,22,-21,1,21.02379604,-18,-4,18.43908891,-20,2,20.09975124,-22,2,22.09072203,-20,0,20,0,0,0,-20,-1,20.02498439,-20,1,20.02498439,-19,2,19.10497317,-20,0,20,-19,3,19.23538406,-22,3,22.20360331,-19,1,19.02629759,-21,5,21.58703314,-17,-3,17.2626765,-13,0,13,-19,4,19.41648784,-20,2,20.09975124,-21,3,21.21320344,-21,4,21.37755833,-20,3,20.22374842,-20,5,20.61552813,-20,6,20.88061302,-21,5,21.58703314,-20,5,20.61552813,-19,6,19.92485885,-20,6,20.88061302,-21,6,21.84032967,-20,6,20.88061302,-21,7,22.13594362,-20,6,20.88061302,-21,7,22.13594362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.59764,1,-121,112,164.8787433,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-8,-20,21.54065923,-7,-21,22.13594362,-6,-19,19.92485885,-7,-21,22.13594362,-6,-20,20.88061302,-5,-20,20.61552813,-4,-19,19.41648784,-5,-20,20.61552813,-4,-20,20.39607805,-5,-20,20.61552813,-4,-19,19.41648784,-4,-20,20.39607805,-4,-20,20.39607805,-4,-20,20.39607805,-5,-22,22.56102835,-4,-20,20.39607805,-3,-20,20.22374842,-3,-19,19.23538406,-3,-21,21.21320344,-3,-19,19.23538406,-2,-19,19.10497317,-2,-19,19.10497317,-3,-17,17.2626765,-3,-19,19.23538406,-3,-18,18.24828759,-3,-19,19.23538406,0,0,0,-4,-18,18.43908891,-3,-18,18.24828759,-4,-19,19.41648784,-2,-16,16.1245155,-5,-18,18.68154169,-4,-18,18.43908891,-4,-18,18.43908891,-4,-19,19.41648784,-5,-18,18.68154169,-5,-18,18.68154169,-6,-18,18.97366596,-7,-18,19.31320792,-5,-18,18.68154169,-5,-19,19.6468827,-5,-18,18.68154169,-3,-19,19.23538406,-6,-18,18.97366596,-6,-18,18.97366596,-6,-18,18.97366596,-9,-18,20.1246118,-7,-18,19.31320792,-7,-18,19.31320792,-7,-18,19.31320792,-6,-18,18.97366596,-8,-18,19.6977156,-8,-18,19.6977156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.60897,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,21,1,21.02379604,20,2,20.09975124,21,2,21.09502311,20,2,20.09975124,20,2,20.09975124,20,3,20.22374842,19,4,19.41648784,19,4,19.41648784,19,4,19.41648784,18,4,18.43908891,19,4,19.41648784,19,4,19.41648784,19,4,19.41648784,19,4,19.41648784,18,5,18.68154169,19,5,19.6468827,18,6,18.97366596,17,5,17.72004515,17,6,18.02775638,18,6,18.97366596,17,6,18.02775638,17,5,17.72004515,16,5,16.76305461,17,5,17.72004515,17,5,17.72004515,17,5,17.72004515,0,0,0,17,5,17.72004515,17,4,17.4642492,18,4,18.43908891,17,4,17.4642492,17,3,17.2626765,17,4,17.4642492,17,4,17.4642492,17,4,17.4642492,16,4,16.4924225,18,4,18.43908891,17,2,17.11724277,17,3,17.2626765,17,2,17.11724277,18,3,18.24828759,18,2,18.11077028,18,2,18.11077028,18,2,18.11077028,18,2,18.11077028,19,3,19.23538406,18,2,18.11077028,18,2,18.11077028,18,2,18.11077028,18,1,18.02775638,18,0,18,18,0,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.63011,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,-6,4,7.211102551,-7,4,8.062257748,-7,4,8.062257748,-7,4,8.062257748,-7,3,7.615773106,-7,3,7.615773106,-7,4,8.062257748,-7,3,7.615773106,-6,3,6.708203932,-7,3,7.615773106,-7,3,7.615773106,-7,3,7.615773106,-7,3,7.615773106,-7,3,7.615773106,-7,2,7.280109889,-7,3,7.615773106,-7,3,7.615773106,-7,2,7.280109889,-7,2,7.280109889,-7,2,7.280109889,-6,2,6.32455532,-7,2,7.280109889,-7,2,7.280109889,-7,2,7.280109889,-6,2,6.32455532,-7,2,7.280109889,0,0,0,-6,2,6.32455532,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,3,6.708203932,-6,4,7.211102551,-6,4,7.211102551,-6,3,6.708203932,-6,4,7.211102551,-6,4,7.211102551,-6,3,6.708203932,-5,4,6.403124237,-6,4,7.211102551,-6,4,7.211102551,-6,4,7.211102551,-5,4,6.403124237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.64961,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-4,14,14.56021978,-5,15,15.8113883,-4,14,14.56021978,-5,15,15.8113883,-6,15,16.15549442,-5,13,13.92838828,-6,14,15.23154621,-6,13,14.31782106,-6,13,14.31782106,-5,14,14.86606875,-5,14,14.86606875,-6,12,13.41640786,-6,12,13.41640786,-6,14,15.23154621,-7,14,15.65247584,-7,13,14.76482306,-8,13,15.26433752,-7,12,13.89244399,-8,13,15.26433752,-8,12,14.4222051,-7,12,13.89244399,-8,12,14.4222051,-7,11,13.03840481,-7,11,13.03840481,-7,12,13.89244399,-7,13,14.76482306,0,0,0,-7,12,13.89244399,-6,13,14.31782106,-6,12,13.41640786,-6,12,13.41640786,-7,11,13.03840481,-5,12,13,-6,12,13.41640786,-6,12,13.41640786,-5,13,13.92838828,-5,12,13,-4,12,12.64911064,-4,13,13.60147051,-5,13,13.92838828,-4,14,14.56021978,-4,13,13.60147051,-4,13,13.60147051,-4,14,14.56021978,-4,13,13.60147051,-4,14,14.56021978,-5,12,13,-5,13,13.92838828,-4,13,13.60147051,-4,14,14.56021978,-2,13,13.15294644,-3,13,13.34166406,-4,14,14.56021978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.98669,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,-7,16.55294536,15,-6,16.15549442,15,-6,16.15549442,15,-5,15.8113883,15,-5,15.8113883,13,-5,13.92838828,14,-4,14.56021978,14,-4,14.56021978,15,-3,15.29705854,15,-4,15.5241747,14,-3,14.31782106,13,-3,13.34166406,14,-3,14.31782106,14,-1,14.03566885,13,-3,13.34166406,14,-2,14.14213562,13,-2,13.15294644,13,-3,13.34166406,13,-2,13.15294644,12,-1,12.04159458,13,-1,13.03840481,13,-2,13.15294644,12,-2,12.16552506,13,-1,13.03840481,12,-2,12.16552506,12,-2,12.16552506,0,0,0,11,-2,11.18033989,11,-2,11.18033989,10,-2,10.19803903,11,-4,11.70469991,11,-3,11.40175425,12,-3,12.36931688,11,-3,11.40175425,11,-4,11.70469991,11,-4,11.70469991,10,-4,10.77032961,10,-4,10.77032961,10,-4,10.77032961,11,-4,11.70469991,11,-5,12.08304597,11,-5,12.08304597,11,-5,12.08304597,11,-6,12.52996409,11,-5,12.08304597,11,-6,12.52996409,11,-6,12.52996409,10,-5,11.18033989,10,-6,11.66190379,11,-6,12.52996409,11,-6,12.52996409,11,-7,13.03840481,11,-7,13.03840481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.10579,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,15,15.5241747,3,14,14.31782106,3,15,15.29705854,3,14,14.31782106,3,15,15.29705854,2,13,13.15294644,2,14,14.14213562,1,13,13.03840481,1,14,14.03566885,1,13,13.03840481,2,13,13.15294644,1,14,14.03566885,0,14,14,1,13,13.03840481,0,13,13,-1,13,13.03840481,0,12,12,0,13,13,0,13,13,0,12,12,0,12,12,-1,13,13.03840481,0,12,12,1,12,12.04159458,0,12,12,1,12,12.04159458,0,0,0,0,11,11,0,12,12,0,11,11,1,12,12.04159458,0,12,12,0,11,11,0,11,11,1,11,11.04536102,0,11,11,1,11,11.04536102,2,11,11.18033989,2,12,12.16552506,2,11,11.18033989,2,12,12.16552506,1,11,11.04536102,2,11,11.18033989,3,10,10.44030651,2,11,11.18033989,2,11,11.18033989,3,11,11.40175425,3,11,11.40175425,3,11,11.40175425,2,11,11.18033989,4,11,11.70469991,3,11,11.40175425,3,11,11.40175425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.6126,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-17,-3,17.2626765,-17,-2,17.11724277,-17,-4,17.4642492,-16,-3,16.2788206,-16,-4,16.4924225,-16,-5,16.76305461,-16,-5,16.76305461,-15,-5,15.8113883,-16,-4,16.4924225,-15,-6,16.15549442,-16,-5,16.76305461,-16,-5,16.76305461,-16,-5,16.76305461,-14,-5,14.86606875,-15,-5,15.8113883,-15,-6,16.15549442,-15,-5,15.8113883,-14,-6,15.23154621,-15,-6,16.15549442,-14,-5,14.86606875,-14,-6,15.23154621,-14,-5,14.86606875,-14,-6,15.23154621,-13,-6,14.31782106,-13,-5,13.92838828,-14,-5,14.86606875,0,0,0,-13,-4,13.60147051,-14,-4,14.56021978,-14,-4,14.56021978,-13,-3,13.34166406,-13,-4,13.60147051,-14,-4,14.56021978,-14,-4,14.56021978,-14,-3,14.31782106,-13,-4,13.60147051,-14,-3,14.31782106,-14,-2,14.14213562,-15,-3,15.29705854,-13,-2,13.15294644,-14,-2,14.14213562,-14,-2,14.14213562,-14,-1,14.03566885,-13,-1,13.03840481,-14,-1,14.03566885,-14,-1,14.03566885,-14,-1,14.03566885,-14,0,14,-14,-1,14.03566885,-14,0,14,-14,0,14,-15,0,15,-15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.66361,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-9,-15,17.49285568,-8,-16,17.88854382,-7,-16,17.4642492,-7,-16,17.4642492,-7,-16,17.4642492,-6,-16,17.08800749,-5,-15,15.8113883,-5,-15,15.8113883,-5,-16,16.76305461,-5,-15,15.8113883,-5,-15,15.8113883,-5,-15,15.8113883,-4,-16,16.4924225,-5,-15,15.8113883,-4,-16,16.4924225,-4,-15,15.5241747,-4,-15,15.5241747,-4,-14,14.56021978,-4,-15,15.5241747,-4,-15,15.5241747,-4,-15,15.5241747,-4,-14,14.56021978,-4,-14,14.56021978,-4,-14,14.56021978,-4,-14,14.56021978,-4,-14,14.56021978,0,0,0,-4,-14,14.56021978,-4,-13,13.60147051,-4,-13,13.60147051,-4,-13,13.60147051,-5,-13,13.92838828,-5,-13,13.92838828,-5,-13,13.92838828,-5,-13,13.92838828,-5,-12,13,-5,-12,13,-6,-13,14.31782106,-7,-13,14.76482306,-6,-12,13.41640786,-6,-13,14.31782106,-6,-12,13.41640786,-7,-12,13.89244399,-7,-12,13.89244399,-7,-13,14.76482306,-7,-12,13.89244399,-7,-12,13.89244399,-8,-12,14.4222051,-7,-13,14.76482306,-7,-12,13.89244399,-8,-13,15.26433752,-8,-12,14.4222051,-9,-12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
