Timestamp,TXSpot,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
2.40553,2,37,80,2,0,0,0,0,0,0,0,0,0,25,1,25,3,24,3,25,4,23,5,24,5,23,6,23,6,22,6,21,6,22,6,22,6,21,6,21,6,20,8,20,7,19,8,18,7,18,7,18,7,18,6,17,6,16,5,17,5,17,5,17,5,0,0,16,4,16,3,16,4,15,3,15,2,15,3,15,2,14,1,14,1,14,0,15,0,14,-1,15,-1,15,-1,14,-1,15,-1,15,-2,16,-3,15,-2,15,-3,16,-3,15,-3,16,-4,16,-4,15,-5,16,-4,0,0,0,0,0,0,0,0,0,0
2.41127,2,37,80,2,0,0,0,0,0,0,0,0,0,-11,23,-13,24,-12,23,-14,24,-14,21,-15,21,-15,20,-15,19,-15,19,-14,19,-15,20,-15,19,-15,18,-14,18,-15,17,-14,17,-15,16,-14,14,-14,15,-14,15,-13,15,-13,15,-12,13,-12,15,-12,15,-11,15,0,0,-11,14,-10,14,-10,15,-9,14,-9,14,-8,14,-8,14,-7,14,-7,14,-7,14,-6,15,-6,15,-5,15,-5,15,-4,15,-4,16,-4,15,-4,16,-4,16,-3,16,-3,16,-3,16,-2,17,-2,18,-2,17,-2,17,0,0,0,0,0,0,0,0,0,0
2.41847,2,82,-96,4,0,0,0,0,0,0,0,0,0,-31,-5,-29,-7,-29,-7,-28,-7,-27,-7,-27,-9,-27,-9,-26,-9,-26,-10,-26,-10,-25,-10,-26,-11,-25,-9,-24,-10,-23,-11,-24,-10,-23,-10,-21,-9,-21,-9,-21,-10,-22,-9,-21,-9,-19,-9,-21,-7,-20,-6,-20,-7,0,0,-19,-6,-19,-5,-19,-5,-19,-3,-19,-4,-19,-4,-19,-3,-20,-2,-21,-1,-15,-6,-16,-1,-19,0,-18,1,-19,1,-17,1,-20,1,-19,3,-19,3,-19,2,-19,3,-18,3,-19,3,-19,4,-19,5,-19,6,-19,5,0,0,0,0,0,0,0,0,0,0
2.42495,2,84,-64,4,0,0,0,0,0,0,0,0,0,-2,24,-3,23,-3,23,-4,23,-4,22,-5,23,-5,21,-6,21,-7,21,-7,20,-7,21,-7,20,-8,19,-8,19,-8,19,-8,18,-8,18,-9,18,-8,17,-8,17,-8,17,-8,16,-7,16,-8,15,-7,16,-6,16,0,0,-7,15,-6,15,-6,14,-5,14,-5,14,-5,14,-5,14,-4,14,-4,14,-3,14,-3,14,-2,14,-2,13,-1,15,-1,14,-1,15,0,14,0,15,0,15,-1,15,0,15,0,16,0,16,0,15,0,17,1,16,0,0,0,0,0,0,0,0,0,0
2.43053,2,84,-64,4,0,0,0,0,0,0,0,0,0,-23,1,-24,1,-24,0,-24,0,-23,-2,-24,-2,-23,-2,-23,-3,-23,-3,-22,-4,-22,-4,-22,-4,-22,-4,-21,-4,-21,-5,-20,-5,-20,-5,-19,-5,-20,-5,-19,-5,-19,-5,-18,-4,-18,-5,-17,-4,-18,-4,-18,-4,0,0,-16,-4,-16,-3,-16,-3,-15,-2,-16,-2,-16,-2,-15,-1,-15,-1,-15,-1,-15,0,-16,1,-15,1,-15,1,-15,1,-15,2,-16,2,-15,3,-16,3,-16,3,-16,4,-16,4,-17,4,-16,4,-16,5,-16,5,-16,5,0,0,0,0,0,0,0,0,0,0
2.43654,2,84,-64,4,0,0,0,0,0,0,0,0,0,-9,-24,-9,-24,-8,-25,-8,-24,-6,-24,-6,-25,-5,-24,-4,-24,-4,-23,-4,-23,-5,-23,-3,-23,-3,-23,-3,-22,-2,-21,-3,-22,-2,-20,-1,-20,-3,-21,-2,-19,-1,-20,-2,-20,-2,-18,-3,-18,-4,-18,-3,-17,0,0,-4,-16,-4,-16,-4,-15,-4,-17,-6,-14,-6,-17,-6,-15,-7,-15,-5,-15,-5,-14,-9,-14,-8,-13,-8,-13,-8,-13,-9,-14,-8,-13,-9,-13,-9,-14,-12,-12,-10,-14,-10,-14,-12,-12,-9,-15,-11,-16,-11,-14,-15,-18,0,0,0,0,0,0,0,0,0,0
2.44311,2,84,-64,4,0,0,0,0,0,0,0,0,0,-20,-11,-20,-12,-19,-12,-18,-12,-17,-13,-17,-14,-17,-13,-16,-14,-16,-14,-15,-14,-16,-14,-15,-14,-15,-14,-14,-13,-14,-14,-14,-13,-13,-14,-13,-13,-12,-14,-12,-13,-12,-12,-12,-13,-12,-12,-12,-12,-12,-11,-12,-11,0,0,-12,-10,-12,-9,-12,-10,-12,-9,-12,-8,-12,-9,-12,-9,-12,-7,-12,-8,-13,-8,-12,-7,-12,-6,-13,-6,-13,-6,-14,-5,-14,-4,-14,-4,-13,-5,-14,-3,-14,-4,-14,-4,-15,-3,-15,-3,-17,-4,-15,-4,-17,-3,0,0,0,0,0,0,0,0,0,0
2.44972,2,84,-64,4,0,0,0,0,0,0,0,0,0,-23,14,-23,13,-24,13,-24,13,-25,11,-24,10,-24,10,-24,9,-23,8,-24,7,-25,8,-24,7,-23,7,-23,6,-22,5,-23,7,-22,5,-21,5,-21,5,-21,5,-20,5,-20,5,-19,4,-19,5,-19,5,-19,5,0,0,-18,5,-17,6,-17,6,-16,6,-16,6,-16,7,-16,7,-15,7,-14,7,-15,8,-15,9,-14,9,-13,9,-14,9,-14,10,-14,10,-13,11,-13,11,-13,12,-13,11,-13,12,-13,12,-13,13,-13,13,-13,13,-13,13,0,0,0,0,0,0,0,0,0,0
2.45558,2,84,-64,4,0,0,0,0,0,0,0,0,0,21,-7,22,-7,21,-6,21,-5,21,-5,21,-5,21,-4,21,-3,21,-3,20,-2,20,-3,21,-2,20,-2,20,-1,20,-1,20,-2,20,-1,16,-2,17,0,17,-1,18,-2,18,-1,17,-1,18,0,17,0,16,-1,0,0,16,-1,15,-2,16,-3,14,-2,14,-3,15,-3,14,-3,14,-4,14,-4,13,-5,13,-5,13,-5,13,-5,13,-6,13,-6,13,-7,12,-7,13,-8,13,-8,12,-8,13,-8,13,-9,13,-8,12,-10,13,-9,13,-9,0,0,0,0,0,0,0,0,0,0
2.47728,2,84,-64,4,0,0,0,0,0,0,0,0,0,-61,-9,-38,7,-72,-8,-65,0,-54,-6,-51,-10,-68,-15,-43,0,-51,-2,-59,-13,-91,0,-99,-12,-94,-30,-74,-11,-78,-11,-104,-19,-94,-28,-65,-8,-87,-21,-71,-15,-79,-25,-87,-23,-57,-24,-88,-17,-86,-18,-78,-10,0,0,-99,-18,-113,-26,-109,-22,-98,-9,-78,-10,-87,-14,-92,-11,-89,-21,-97,-12,-91,-16,-102,-13,-67,-9,-85,-9,-97,-8,-90,-14,-111,-7,-113,-20,-75,-12,-86,-15,-72,-11,-105,-11,-82,-16,-78,11,-88,-5,-84,-6,-72,-2,0,0,0,0,0,0,0,0,0,0
