real_timestamp,Delta t,Zone,R1,I1,Mag1,R2,I2,Mag2,R3,I3,Mag3,R4,I4,Mag4,R5,I5,Mag5,R6,I6,Mag6,R7,I7,Mag7,R8,I8,Mag8,R9,I9,Mag9,R10,I10,Mag10,R11,I11,Mag11,R12,I12,Mag12,R13,I13,Mag13,R14,I14,Mag14,R15,I15,Mag15,R16,I16,Mag16,R17,I17,Mag17,R18,I18,Mag18,R19,I19,Mag19,R20,I20,Mag20,R21,I21,Mag21,R22,I22,Mag22,R23,I23,Mag23,R24,I24,Mag24,R25,I25,Mag25,R26,I26,Mag26,R27,I27,Mag27,R28,I28,Mag28,R29,I29,Mag29,R30,I30,Mag30,R31,I31,Mag31,R32,I32,Mag32,R33,I33,Mag33,R34,I34,Mag34,R35,I35,Mag35,R36,I36,Mag36,R37,I37,Mag37,R38,I38,Mag38,R39,I39,Mag39,R40,I40,Mag40,R41,I41,Mag41,R42,I42,Mag42,R43,I43,Mag43,R44,I44,Mag44,R45,I45,Mag45,R46,I46,Mag46,R47,I47,Mag47,R48,I48,Mag48,R49,I49,Mag49,R50,I50,Mag50,R51,I51,Mag51,R52,I52,Mag52,R53,I53,Mag53,R54,I54,Mag54,R55,I55,Mag55,R56,I56,Mag56,R57,I57,Mag57,R58,I58,Mag58,R59,I59,Mag59,R60,I60,Mag60,R61,I61,Mag61,R62,I62,Mag62,R63,I63,Mag63,R64,I64,Mag64
0.595506,-,1,28,-64,69.85699679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,36,2,36.05551275,35,5,35.35533906,36,6,36.49657518,35,6,35.51056181,35,7,35.6931366,33,9,34.20526275,32,11,33.83784863,30,12,32.31098884,30,11,31.95309062,29,12,31.38470965,30,10,31.6227766,29,10,30.6757233,28,9,29.41088234,26,9,27.51363298,25,10,26.92582404,26,9,27.51363298,24,9,25.63201124,23,9,24.69817807,23,9,24.69817807,22,9,23.76972865,21,9,22.84731932,21,8,22.47220505,20,7,21.1896201,20,5,20.61552813,19,4,19.41648784,19,4,19.41648784,0,0,0,16,3,16.2788206,17,2,17.11724277,16,1,16.03121954,15,0,15,15,-1,15.03329638,14,-1,14.03566885,14,-2,14.14213562,14,-3,14.31782106,13,-4,13.60147051,13,-6,14.31782106,13,-7,14.76482306,12,-7,13.89244399,12,-8,14.4222051,12,-8,14.4222051,12,-9,15,12,-10,15.62049935,11,-10,14.86606875,11,-10,14.86606875,11,-10,14.86606875,10,-11,14.86606875,9,-11,14.2126704,8,-12,14.4222051,8,-13,15.26433752,6,-15,16.15549442,6,-14,15.23154621,6,-15,16.15549442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.601973,0.006467,1,-99,-48,110.0227249,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,-20,36,41.18252056,-22,34,40.49691346,-22,34,40.49691346,-23,33,40.22437072,-25,31,39.8246155,-25,29,38.28837944,-25,29,38.28837944,-26,27,37.48332963,-25,26,36.06937759,-26,25,36.06937759,-25,25,35.35533906,-25,23,33.9705755,-24,23,33.24154028,-24,22,32.55764119,-24,20,31.2409987,-24,22,32.55764119,-22,20,29.73213749,-23,19,29.83286778,-21,18,27.65863337,-21,18,27.65863337,-20,17,26.2488095,-19,17,25.49509757,-18,16,24.08318916,-17,17,24.04163056,-16,17,23.34523506,-15,16,21.9317122,0,0,0,-13,15,19.84943324,-12,16,20,-11,16,19.41648784,-9,15,17.49285568,-9,15,17.49285568,-8,15,17,-6,15,16.15549442,-4,16,16.4924225,-1,15,15.03329638,-7,17,18.38477631,-4,15,15.5241747,-1,15,15.03329638,-1,17,17.02938637,0,17,17,0,17,17,1,16,16.03121954,3,16,16.2788206,2,15,15.13274595,4,15,15.5241747,4,15,15.5241747,5,15,15.8113883,6,14,15.23154621,7,15,16.55294536,8,14,16.1245155,9,14,16.64331698,10,14,17.20465053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.626595,0.024622,1,-121,112,164.8787433,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,-17,32,36.23534186,-19,31,36.35931793,-19,31,36.35931793,-20,31,36.89173349,-21,28,35,-22,28,35.60898763,-22,26,34.05877273,-23,24,33.24154028,-22,24,32.55764119,-22,22,31.11269837,-22,23,31.82766093,-22,22,31.11269837,-21,21,29.69848481,-20,20,28.28427125,-20,19,27.58622845,-20,21,29,-19,19,26.87005769,-18,18,25.45584412,-19,18,26.17250466,-18,17,24.75883681,-17,16,23.34523506,-16,16,22.627417,-15,15,21.21320344,-15,16,21.9317122,-13,15,19.84943324,-13,15,19.84943324,0,0,0,-11,14,17.80449381,-10,14,17.20465053,-9,14,16.64331698,-7,14,15.65247584,-7,14,15.65247584,-6,14,15.23154621,-5,14,14.86606875,-4,14,14.56021978,-3,13,13.34166406,-2,14,14.14213562,-1,14,14.03566885,-1,14,14.03566885,0,14,14,1,14,14.03566885,2,14,14.14213562,3,14,14.31782106,3,14,14.31782106,4,14,14.56021978,4,13,13.60147051,5,13,13.92838828,6,13,14.31782106,6,12,13.41640786,7,12,13.89244399,8,12,14.4222051,9,12,15,10,12,15.62049935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.636548,0.009953,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,-7,-24,25,-5,-25,25.49509757,-4,-24,24.33105012,-4,-26,26.30589288,-3,-25,25.17935662,-1,-24,24.0208243,0,-24,24,0,-23,23,0,-22,22,1,-22,22.02271555,0,-22,22,0,-21,21,1,-21,21.02379604,1,-21,21.02379604,2,-20,20.09975124,1,-19,19.02629759,1,-19,19.02629759,1,-18,18.02775638,1,-19,19.02629759,1,-18,18.02775638,1,-17,17.02938637,1,-16,16.03121954,0,-16,16,0,-16,16,-1,-15,15.03329638,-1,-14,14.03566885,0,0,0,-1,-13,13.03840481,-1,-12,12.04159458,-2,-12,12.16552506,-3,-11,11.40175425,-3,-11,11.40175425,-3,-11,11.40175425,-4,-10,10.77032961,-5,-10,11.18033989,-5,-9,10.29563014,-6,-9,10.81665383,-7,-9,11.40175425,-7,-8,10.63014581,-8,-8,11.3137085,-7,-8,10.63014581,-8,-7,10.63014581,-9,-7,11.40175425,-8,-7,10.63014581,-9,-6,10.81665383,-9,-6,10.81665383,-9,-5,10.29563014,-10,-5,11.18033989,-10,-5,11.18033989,-10,-4,10.77032961,-11,-3,11.40175425,-11,-3,11.40175425,-11,-3,11.40175425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.660641,0.024093,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,20,-7,21.1896201,21,-6,21.84032967,21,-5,21.58703314,21,-4,21.37755833,21,-4,21.37755833,21,-3,21.21320344,21,-2,21.09502311,20,-2,20.09975124,20,-2,20.09975124,19,-1,19.02629759,18,-1,18.02775638,18,-1,18.02775638,18,-1,18.02775638,17,0,17,17,0,17,16,-1,16.03121954,16,-1,16.03121954,16,-1,16.03121954,15,0,15,15,-1,15.03329638,14,-1,14.03566885,14,-1,14.03566885,13,-2,13.15294644,13,-1,13.03840481,12,-2,12.16552506,11,-2,11.18033989,0,0,0,10,-3,10.44030651,10,-3,10.44030651,9,-3,9.486832981,9,-4,9.848857802,9,-4,9.848857802,8,-5,9.433981132,7,-5,8.602325267,7,-6,9.219544457,7,-6,9.219544457,6,-6,8.485281374,6,-7,9.219544457,6,-7,9.219544457,5,-8,9.433981132,5,-8,9.433981132,5,-8,9.433981132,4,-8,8.94427191,4,-8,8.94427191,4,-9,9.848857802,3,-9,9.486832981,2,-9,9.219544457,2,-9,9.219544457,1,-9,9.055385138,1,-9,9.055385138,0,-10,10,0,-10,10,0,-10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.688869,0.028228,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-15,23,27.45906044,-16,22,27.20294102,-17,22,27.80287755,-18,21,27.65863337,-18,20,26.90724809,-18,20,26.90724809,-18,19,26.17250466,-19,18,26.17250466,-17,17,24.04163056,-18,16,24.08318916,-18,16,24.08318916,-18,15,23.43074903,-18,15,23.43074903,-17,15,22.6715681,-17,15,22.6715681,-16,14,21.26029163,-16,14,21.26029163,-15,13,19.84943324,-15,13,19.84943324,-15,13,19.84943324,-14,12,18.43908891,-13,12,17.69180601,-13,11,17.02938637,-12,11,16.2788206,-12,11,16.2788206,-11,11,15.55634919,0,0,0,-9,10,13.45362405,-8,11,13.60147051,-8,10,12.80624847,-6,10,11.66190379,-6,11,12.52996409,-5,11,12.08304597,-4,10,10.77032961,-3,10,10.44030651,-3,10,10.44030651,-3,11,11.40175425,-2,11,11.18033989,-1,11,11.04536102,0,11,11,0,11,11,1,10,10.04987562,1,11,11.04536102,2,11,11.18033989,3,11,11.40175425,3,10,10.44030651,4,9,9.848857802,4,10,10.77032961,5,9,10.29563014,6,9,10.81665383,7,9,11.40175425,7,8,10.63014581,7,9,11.40175425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.13531,0.446441,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,16,23.34523506,16,17,23.34523506,15,18,23.43074903,14,19,23.60084744,14,19,23.60084744,13,19,23.02172887,13,19,23.02172887,12,18,21.63330765,11,18,21.09502311,10,19,21.47091055,10,19,21.47091055,9,18,20.1246118,9,19,21.02379604,9,18,20.1246118,8,18,19.6977156,8,17,18.78829423,7,17,18.38477631,8,15,17,7,16,17.4642492,7,16,17.4642492,7,15,16.55294536,7,15,16.55294536,7,14,15.65247584,7,14,15.65247584,7,13,14.76482306,7,12,13.89244399,0,0,0,7,11,13.03840481,7,10,12.20655562,7,10,12.20655562,7,9,11.40175425,7,8,10.63014581,8,8,11.3137085,8,7,10.63014581,9,6,10.81665383,8,6,10,9,5,10.29563014,9,5,10.29563014,10,5,11.18033989,10,5,11.18033989,10,4,10.77032961,10,4,10.77032961,10,3,10.44030651,11,3,11.40175425,11,2,11.18033989,11,2,11.18033989,10,1,10.04987562,11,1,11.04536102,10,0,10,11,0,11,11,-1,11.04536102,11,-1,11.04536102,11,-2,11.18033989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.14146,0.00615,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-23,-16,28.01785145,-22,-15,26.62705391,-21,-16,26.40075756,-21,-18,27.65863337,-20,-19,27.58622845,-18,-18,25.45584412,-18,-19,26.17250466,-17,-18,24.75883681,-17,-18,24.75883681,-17,-19,25.49509757,-16,-17,23.34523506,-15,-18,23.43074903,-14,-18,22.8035085,-16,-18,24.08318916,-13,-16,20.61552813,-14,-17,22.02271555,-14,-15,20.51828453,-13,-16,20.61552813,-14,-16,21.26029163,-13,-16,20.61552813,-12,-15,19.20937271,-12,-14,18.43908891,-12,-13,17.69180601,-11,-14,17.80449381,-12,-12,16.97056275,-12,-12,16.97056275,0,0,0,-11,-11,15.55634919,-12,-10,15.62049935,-10,-9,13.45362405,-11,-8,13.60147051,-13,-6,14.31782106,-14,-8,16.1245155,-10,-6,11.66190379,-12,-2,12.16552506,-14,-7,15.65247584,-13,-7,14.76482306,-11,-3,11.40175425,-14,-3,14.31782106,-14,-2,14.14213562,-14,-1,14.03566885,-15,-2,15.13274595,-13,0,13,-13,0,13,-12,1,12.04159458,-13,1,13.03840481,-12,1,12.04159458,-12,2,12.16552506,-13,3,13.34166406,-13,2,13.15294644,-13,3,13.34166406,-12,4,12.64911064,-12,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47594,0.33448,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-34,15,37.16180835,-35,12,37,-35,12,37,-35,11,36.68787266,-35,9,36.138622,-35,7,35.6931366,-34,6,34.525353,-33,5,33.37663854,-32,5,32.38826948,-32,4,32.24903099,-33,4,33.24154028,-31,3,31.144823,-31,3,31.144823,-29,3,29.15475947,-28,2,28.0713377,-29,4,29.27456234,-27,3,27.16615541,-27,3,27.16615541,-26,2,26.07680962,-26,3,26.17250466,-24,2,24.08318916,-24,3,24.18677324,-23,2,23.08679276,-23,4,23.34523506,-21,3,21.21320344,-21,3,21.21320344,0,0,0,-19,4,19.41648784,-18,5,18.68154169,-17,6,18.02775638,-16,6,17.08800749,-15,6,16.15549442,-14,7,15.65247584,-14,8,16.1245155,-13,8,15.26433752,-11,8,13.60147051,-12,9,15,-11,10,14.86606875,-10,11,14.86606875,-9,11,14.2126704,-9,11,14.2126704,-9,12,15,-8,13,15.26433752,-7,13,14.76482306,-7,13,14.76482306,-6,13,14.31782106,-6,13,14.31782106,-5,13,13.92838828,-4,14,14.56021978,-3,14,14.31782106,-2,15,15.13274595,-2,14,14.14213562,-1,15,15.03329638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.63729,0.16135,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-24,9,25.63201124,-24,8,25.29822128,-25,7,25.96150997,-25,6,25.70992026,-25,5,25.49509757,-24,5,24.51530134,-24,4,24.33105012,-24,3,24.18677324,-24,4,24.33105012,-23,2,23.08679276,-24,2,24.08318916,-23,2,23.08679276,-22,2,22.09072203,-22,2,22.09072203,-21,1,21.02379604,-21,2,21.09502311,-20,1,20.02498439,-19,2,19.10497317,-19,1,19.02629759,-19,1,19.02629759,-18,0,18,-17,1,17.02938637,-17,1,17.02938637,-16,2,16.1245155,-16,2,16.1245155,-15,2,15.13274595,0,0,0,-14,2,14.14213562,-13,3,13.34166406,-12,3,12.36931688,-11,4,11.70469991,-11,4,11.70469991,-11,4,11.70469991,-10,4,10.77032961,-9,5,10.29563014,-9,6,10.81665383,-8,7,10.63014581,-8,6,10,-7,7,9.899494937,-7,7,9.899494937,-7,7,9.899494937,-6,8,10,-6,8,10,-5,8,9.433981132,-4,8,8.94427191,-4,8,8.94427191,-3,9,9.486832981,-2,8,8.246211251,-2,9,9.219544457,-1,9,9.055385138,0,9,9,0,10,10,1,10,10.04987562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
