real_timestamp,Delta t,Zone,R1,I1,Mag1,R2,I2,Mag2,R3,I3,Mag3,R4,I4,Mag4,R5,I5,Mag5,R6,I6,Mag6,R7,I7,Mag7,R8,I8,Mag8,R9,I9,Mag9,R10,I10,Mag10,R11,I11,Mag11,R12,I12,Mag12,R13,I13,Mag13,R14,I14,Mag14,R15,I15,Mag15,R16,I16,Mag16,R17,I17,Mag17,R18,I18,Mag18,R19,I19,Mag19,R20,I20,Mag20,R21,I21,Mag21,R22,I22,Mag22,R23,I23,Mag23,R24,I24,Mag24,R25,I25,Mag25,R26,I26,Mag26,R27,I27,Mag27,R28,I28,Mag28,R29,I29,Mag29,R30,I30,Mag30,R31,I31,Mag31,R32,I32,Mag32,R33,I33,Mag33,R34,I34,Mag34,R35,I35,Mag35,R36,I36,Mag36,R37,I37,Mag37,R38,I38,Mag38,R39,I39,Mag39,R40,I40,Mag40,R41,I41,Mag41,R42,I42,Mag42,R43,I43,Mag43,R44,I44,Mag44,R45,I45,Mag45,R46,I46,Mag46,R47,I47,Mag47,R48,I48,Mag48,R49,I49,Mag49,R50,I50,Mag50,R51,I51,Mag51,R52,I52,Mag52,R53,I53,Mag53,R54,I54,Mag54,R55,I55,Mag55,R56,I56,Mag56,R57,I57,Mag57,R58,I58,Mag58,R59,I59,Mag59,R60,I60,Mag60,R61,I61,Mag61,R62,I62,Mag62,R63,I63,Mag63,R64,I64,Mag64
0.43204,-,1,28,-64,69.85699679,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-26,0,26,-28,-1,28.01785145,-29,-2,29.06888371,-30,-3,30.14962686,-31,-4,31.25699922,-31,-5,31.40063694,-31,-6,31.57530681,-31,-8,32.01562119,-31,-7,31.78049716,-31,-9,32.28002478,-32,-8,32.984845,-31,-9,32.28002478,-31,-9,32.28002478,-30,-9,31.32091953,-28,-10,29.73213749,-30,-9,31.32091953,-28,-9,29.41088234,-27,-9,28.46049894,-26,-10,27.85677655,-25,-10,26.92582404,-24,-10,26,-24,-8,25.29822128,-22,-8,23.40939982,-22,-7,23.08679276,-21,-6,21.84032967,-20,-6,20.88061302,0,0,0,-17,-4,17.4642492,-17,-3,17.2626765,-16,-1,16.03121954,-14,0,14,-13,0,13,-13,1,13.03840481,-12,3,12.36931688,-11,4,11.70469991,-10,4,10.77032961,-10,5,11.18033989,-9,7,11.40175425,-9,7,11.40175425,-8,8,11.3137085,-8,10,12.80624847,-7,10,12.20655562,-7,11,13.03840481,-6,12,13.41640786,-6,11,12.52996409,-6,13,14.31782106,-5,12,13,-4,13,13.60147051,-4,13,13.60147051,-3,14,14.31782106,-3,14,14.31782106,-2,13,13.15294644,-2,14,14.14213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.439008,0.006968,1,-99,-48,110.0227249,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,-44,16,46.81879964,-67,10,67.74215822,-60,-5,60.20797289,-79,3,79.0569415,-76,1,76.00657866,-69,-1,69.007246,-96,4,96.0832972,-66,-10,66.75327707,-86,-7,86.28441342,-100,-10,100.4987562,-105,-10,105.4751155,-93,-30,97.71898485,-97,-22,99.46356117,-88,-33,93.9840412,-70,-17,72.03471385,-114,-30,117.8812962,-93,-40,101.2373449,-73,-29,78.54934755,-82,-26,86.02325267,-78,-40,87.658428,-71,-26,75.61084578,-91,-41,99.80981916,-48,-36,60,-94,-6,94.19129471,-97,4,97.08243919,-93,-16,94.36630755,0,0,0,-84,3,84.05355436,-92,16,93.38094024,-81,18,82.97590012,-67,30,73.40980861,-63,28,68.94200461,-71,29,76.69419796,-62,19,64.84597135,-53,38,65.21502894,-54,53,75.66372975,-68,13,69.23149572,-71,38,80.5294977,-47,39,61.07372594,-50,44,66.60330322,-72,24,75.89466384,-77,23,80.36168241,-68,35,76.47875522,-77,42,87.7097486,-71,40,81.49233093,-76,42,86.83317338,-61,41,73.4982993,-57,59,82.03657721,-65,57,86.45229899,-50,50,70.71067812,-68,60,90.68627239,-39,62,73.24616031,-55,48,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.461846,0.022838,1,-121,112,164.8787433,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,24,26,9,25,26.57066051,9,27,28.46049894,9,28,29.41088234,8,29,30.08321791,7,29,29.83286778,6,30,30.59411708,5,31,31.40063694,5,30,30.41381265,4,31,31.25699922,5,31,31.40063694,4,31,31.25699922,4,31,31.25699922,3,30,30.14962686,2,28,28.0713377,3,30,30.14962686,2,28,28.0713377,1,27,27.01851217,1,27,27.01851217,1,26,26.01922366,0,25,25,1,24,24.0208243,1,22,22.02271555,2,22,22.09072203,2,20,20.09975124,2,20,20.09975124,0,0,0,2,16,16.1245155,4,15,15.5241747,4,14,14.56021978,4,12,12.64911064,5,11,12.08304597,6,10,11.66190379,7,9,11.40175425,7,8,10.63014581,7,6,9.219544457,9,6,10.81665383,10,5,11.18033989,10,4,10.77032961,10,3,10.44030651,12,3,12.36931688,11,2,11.18033989,12,1,12.04159458,13,0,13,13,0,13,13,0,13,13,-1,13.03840481,13,-2,13.15294644,13,-2,13.15294644,13,-3,13.34166406,14,-4,14.56021978,13,-3,13.34166406,13,-3,13.34166406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.476382,0.014536,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,24,-11,26.40075756,25,-10,26.92582404,27,-10,28.7923601,27,-10,28.7923601,28,-9,29.41088234,29,-8,30.08321791,29,-7,29.83286778,30,-6,30.59411708,30,-6,30.59411708,31,-5,31.40063694,31,-5,31.40063694,31,-4,31.25699922,30,-4,30.2654919,29,-3,29.15475947,28,-2,28.0713377,29,-3,29.15475947,28,-2,28.0713377,27,-2,27.07397274,26,-2,26.07680962,26,-1,26.01922366,24,0,24,24,-2,24.08318916,22,-1,22.02271555,22,-2,22.09072203,20,-2,20.09975124,19,-2,19.10497317,0,0,0,16,-3,16.2788206,16,-4,16.4924225,14,-4,14.56021978,13,-5,13.92838828,11,-5,12.08304597,10,-6,11.66190379,9,-7,11.40175425,9,-8,12.04159458,7,-8,10.63014581,6,-9,10.81665383,5,-11,12.08304597,5,-10,11.18033989,4,-11,11.70469991,3,-12,12.36931688,2,-12,12.16552506,2,-13,13.15294644,1,-13,13.03840481,1,-13,13.03840481,0,-14,14,0,-14,14,0,-14,14,-2,-14,14.14213562,-1,-15,15.03329638,-2,-15,15.13274595,-2,-14,14.14213562,-2,-14,14.14213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.497778,0.021396,1,-122,-31,125.876924,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,-12,16,20,-13,19,23.02172887,-11,18,21.09502311,-12,19,22.47220505,-13,19,23.02172887,-15,18,23.43074903,-16,18,24.08318916,-18,17,24.75883681,-17,17,24.04163056,-18,17,24.75883681,-18,17,24.75883681,-19,16,24.8394847,-19,16,24.8394847,-18,15,23.43074903,-18,14,22.8035085,-19,16,24.8394847,-18,14,22.8035085,-17,13,21.40093456,-17,12,20.80865205,-16,12,20,-17,11,20.24845673,-15,11,18.60107524,-15,10,18.02775638,-14,12,18.43908891,-12,10,15.62049935,-12,10,15.62049935,0,0,0,-10,8,12.80624847,-9,9,12.72792206,-8,9,12.04159458,-7,8,10.63014581,-6,8,10,-5,8,9.433981132,-3,8,8.544003745,-3,8,8.544003745,-2,7,7.280109889,-2,8,8.246211251,0,9,9,1,9,9.055385138,1,9,9.055385138,3,8,8.544003745,3,9,9.486832981,4,8,8.94427191,4,9,9.848857802,5,8,9.433981132,5,9,10.29563014,5,8,9.433981132,5,9,10.29563014,6,8,10,7,9,11.40175425,7,8,10.63014581,7,8,10.63014581,7,8,10.63014581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5164,0.018622,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,22,1,-24,24.0208243,2,-24,24.08318916,3,-26,26.17250466,3,-25,25.17935662,3,-26,26.17250466,5,-26,26.47640459,6,-26,26.68332813,6,-25,25.70992026,7,-26,26.92582404,7,-27,27.89265136,6,-26,26.68332813,7,-26,26.92582404,7,-26,26.92582404,8,-25,26.2488095,8,-23,24.35159132,8,-23,24.35159132,8,-22,23.40939982,9,-23,24.69817807,9,-21,22.84731932,8,-21,22.47220505,8,-20,21.54065923,7,-19,20.24845673,7,-19,20.24845673,6,-18,18.97366596,5,-17,17.72004515,0,0,0,4,-15,15.5241747,2,-14,14.14213562,2,-13,13.15294644,1,-12,12.04159458,0,-12,12,-1,-12,12.04159458,-2,-11,11.18033989,-3,-10,10.44030651,-4,-10,10.77032961,-4,-8,8.94427191,-6,-8,10,-7,-8,10.63014581,-8,-8,11.3137085,-8,-8,11.3137085,-9,-7,11.40175425,-10,-7,12.20655562,-10,-6,11.66190379,-10,-5,11.18033989,-11,-6,12.52996409,-11,-5,12.08304597,-11,-5,12.08304597,-11,-5,12.08304597,-12,-4,12.64911064,-12,-4,12.64911064,-12,-3,12.36931688,-13,-3,13.34166406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.975878,0.459478,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,23,23.76972865,6,26,26.68332813,5,26,26.47640459,5,28,28.44292531,3,28,28.16025568,4,29,29.27456234,2,29,29.06888371,2,29,29.06888371,1,30,30.01666204,0,30,30,0,30,30,-1,29,29.01723626,-1,30,30.01666204,-2,30,30.06659276,-2,29,29.06888371,-3,29,29.15475947,-4,27,27.29468813,-4,26,26.30589288,-4,27,27.29468813,-3,27,27.16615541,-4,25,25.3179778,-3,24,24.18677324,-4,21,21.37755833,-3,22,22.20360331,-2,21,21.09502311,-1,19,19.02629759,0,0,0,-1,17,17.02938637,1,15,15.03329638,1,15,15.03329638,2,13,13.15294644,2,12,12.16552506,4,12,12.64911064,5,11,12.08304597,5,10,11.18033989,5,10,11.18033989,6,9,10.81665383,8,8,11.3137085,9,7,11.40175425,9,7,11.40175425,9,7,11.40175425,10,5,11.18033989,10,5,11.18033989,12,4,12.64911064,12,3,12.36931688,13,3,13.34166406,12,2,12.16552506,13,2,13.15294644,13,2,13.15294644,13,1,13.03840481,14,1,14.03566885,13,1,13.03840481,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.29993,0.324052,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,-24,-10,26,-26,-13,29.06888371,-25,-13,28.17800561,-27,-14,30.41381265,-25,-15,29.15475947,-26,-16,30.52867504,-26,-16,30.52867504,-26,-17,31.06444913,-25,-18,30.8058436,-25,-17,30.23243292,-26,-18,31.6227766,-25,-18,30.8058436,-25,-18,30.8058436,-24,-19,30.61045573,-23,-19,29.83286778,-23,-18,29.20616373,-22,-20,29.73213749,-20,-18,26.90724809,-21,-19,28.31960452,-20,-18,26.90724809,-19,-17,25.49509757,-18,-17,24.75883681,-17,-15,22.6715681,-17,-14,22.02271555,-17,-13,21.40093456,-16,-13,20.61552813,0,0,0,-14,-11,17.80449381,-13,-9,15.8113883,-14,-9,16.64331698,-12,-6,13.41640786,-12,-6,13.41640786,-12,-4,12.64911064,-12,-3,12.36931688,-12,-2,12.16552506,-11,-1,11.04536102,-11,1,11.04536102,-11,2,11.18033989,-11,2,11.18033989,-11,4,11.70469991,-11,5,12.08304597,-11,4,11.70469991,-11,6,12.52996409,-10,6,11.66190379,-10,7,12.20655562,-10,8,12.80624847,-9,8,12.04159458,-9,9,12.72792206,-9,8,12.04159458,-9,9,12.72792206,-9,9,12.72792206,-8,9,12.04159458,-8,10,12.80624847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47115,0.17122,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,26,26.17250466,-1,24,24.0208243,-6,29,29.61418579,-1,27,27.01851217,-10,31,32.57299495,-8,29,30.08321791,-11,30,31.95309062,-9,26,27.51363298,-10,30,31.6227766,-4,28,28.28427125,-7,28,28.86173938,-9,29,30.3644529,-8,28,29.12043956,-9,28,29.41088234,-9,28,29.41088234,-8,26,27.20294102,-9,25,26.57066051,-9,25,26.57066051,-8,25,26.2488095,-9,23,24.69817807,-8,23,24.35159132,-8,22,23.40939982,-7,21,22.13594362,-7,20,21.1896201,-6,19,19.92485885,-5,18,18.68154169,0,0,0,-3,16,16.2788206,-2,15,15.13274595,-1,14,14.03566885,0,12,12,1,11,11.04536102,2,11,11.18033989,3,10,10.44030651,4,9,9.848857802,5,8,9.433981132,7,7,9.899494937,8,7,10.63014581,8,6,10,9,6,10.81665383,10,5,11.18033989,10,4,10.77032961,11,4,11.70469991,11,3,11.40175425,11,2,11.18033989,11,2,11.18033989,11,2,11.18033989,12,1,12.04159458,12,1,12.04159458,12,-1,12.04159458,12,-1,12.04159458,12,-2,12.16552506,12,-2,12.16552506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.47711,0.00596,1,82,-96,126.2537128,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,27,27.16615541,0,29,29,-1,28,28.01785145,-1,30,30.01666204,0,29,29,0,29,29,-3,30,30.14962686,-3,30,30.14962686,-3,29,29.15475947,-4,31,31.25699922,-5,31,31.40063694,-4,31,31.25699922,-5,32,32.38826948,-6,31,31.57530681,-6,29,29.61418579,-6,27,27.65863337,-7,29,29.83286778,-7,28,28.86173938,-6,27,27.65863337,-7,28,28.86173938,-6,25,25.70992026,-6,23,23.76972865,-5,23,23.53720459,-6,23,23.76972865,-5,20,20.61552813,-3,21,21.21320344,0,0,0,-5,17,17.72004515,-2,16,16.1245155,-1,16,16.03121954,-1,12,12.04159458,1,15,15.03329638,0,13,13,3,11,11.40175425,6,10,11.66190379,4,8,8.94427191,7,7,9.899494937,7,8,10.63014581,7,8,10.63014581,8,8,11.3137085,9,6,10.81665383,10,6,11.66190379,10,5,11.18033989,12,5,13,12,4,12.64911064,12,4,12.64911064,12,3,12.36931688,13,3,13.34166406,13,3,13.34166406,13,2,13.15294644,14,2,14.14213562,13,1,13.03840481,13,1,13.03840481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
