type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2631180,0,82,0,0,2.81328,384,[82 -96 4 0 0 0 0 0 0 0 0 0 13 -19 14 -20 14 -19 15 -19 15 -18 16 -18 16 -17 16 -17 16 -17 17 -16 17 -16 17 -16 17 -16 17 -15 17 -15 16 -15 17 -15 16 -14 16 -15 16 -14 16 -14 16 -14 15 -14 15 -14 15 -14 15 -14 0 0 14 -14 13 -14 13 -14 12 -13 12 -14 12 -14 12 -14 11 -14 11 -14 10 -14 10 -14 10 -14 10 -14 9 -14 8 -14 9 -14 8 -14 8 -14 8 -14 7 -13 7 -13 7 -13 6 -13 6 -13 5 -13 6 -12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-34,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,2648568,0,37,0,0,2.83078,128,[37 80 2 0 0 0 0 0 0 0 0 0 4 -23 5 -23 5 -23 5 -23 6 -23 7 -23 7 -22 8 -22 7 -21 9 -21 9 -22 9 -21 9 -21 8 -20 9 -19 8 -21 8 -19 7 -18 8 -19 8 -19 8 -18 7 -18 8 -17 7 -18 7 -18 7 -18 0 0 6 -17 5 -17 5 -17 4 -17 4 -17 4 -17 4 -17 4 -16 3 -16 3 -16 3 -17 3 -16 2 -15 2 -16 2 -16 1 -16 1 -16 1 -15 1 -15 1 -15 1 -14 0 -14 0 -14 0 -14 0 -13 0 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-34,11,0,0,0,0,0,0,0,0,0,-96,0,6,1,2648976,0,37,0,0,2.83684,128,[37 80 2 0 0 0 0 0 0 0 0 0 18 -19 18 -18 19 -19 19 -18 19 -17 20 -16 20 -16 20 -15 20 -15 21 -14 21 -14 20 -13 21 -13 20 -12 19 -12 20 -14 19 -12 19 -12 19 -11 19 -12 18 -11 18 -12 18 -11 18 -11 17 -12 17 -12 0 0 16 -11 16 -12 15 -12 15 -12 14 -12 15 -13 14 -12 14 -12 13 -12 14 -12 13 -12 13 -12 12 -12 12 -12 12 -13 11 -13 11 -13 11 -12 11 -12 10 -12 10 -12 9 -12 10 -12 9 -12 9 -11 8 -11 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2651757,0,84,0,0,2.84305,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -4 24 -5 23 -6 24 -6 24 -7 24 -7 22 -8 22 -8 22 -8 22 -9 22 -9 22 -9 21 -9 21 -9 21 -9 21 -10 20 -9 19 -9 19 -9 19 -9 19 -9 19 -9 19 -8 19 -8 18 -7 18 -7 18 0 0 -7 18 -7 18 -6 17 -6 17 -5 17 -5 17 -5 17 -5 17 -5 16 -4 16 -3 16 -3 16 -3 16 -3 16 -3 15 -2 15 -2 16 -2 15 -2 15 -2 14 -1 14 -1 14 -1 14 0 14 0 13 -1 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2652207,0,84,0,0,2.84868,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -21 -13 -22 -14 -21 -14 -21 -15 -20 -15 -20 -16 -19 -16 -19 -16 -19 -16 -18 -16 -18 -16 -18 -16 -18 -16 -17 -17 -17 -16 -16 -16 -17 -16 -15 -15 -16 -16 -16 -15 -16 -15 -16 -15 -15 -14 -16 -14 -16 -14 -15 -13 0 0 -15 -13 -15 -12 -16 -12 -15 -11 -16 -12 -15 -11 -15 -11 -15 -10 -15 -10 -15 -9 -15 -9 -15 -9 -15 -8 -15 -8 -15 -8 -15 -7 -15 -7 -15 -7 -15 -6 -14 -6 -14 -6 -14 -6 -14 -5 -14 -5 -13 -5 -13 -5 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2652426,0,84,0,0,2.85536,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -9 -25 -8 -26 -8 -27 -7 -27 -6 -27 -6 -27 -4 -27 -4 -26 -3 -26 -4 -26 -4 -26 -4 -26 -4 -26 -3 -25 -3 -26 -2 -25 -2 -25 -2 -24 -3 -25 -2 -24 -2 -24 -2 -24 -2 -22 -4 -23 -4 -23 -4 -22 0 0 -4 -22 -4 -21 -4 -22 -4 -20 -5 -21 -5 -20 -5 -20 -5 -20 -5 -19 -6 -18 -6 -18 -7 -18 -7 -18 -7 -18 -6 -17 -7 -17 -7 -16 -7 -16 -7 -16 -7 -15 -7 -15 -7 -15 -8 -14 -8 -14 -8 -14 -8 -13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2661324,0,84,0,0,2.8616,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -1 23 -1 24 -2 24 -3 25 -3 24 -4 23 -4 23 -5 23 -5 23 -5 22 -5 23 -6 22 -5 22 -5 22 -6 22 -6 21 -6 21 -6 20 -6 21 -5 20 -5 20 -5 20 -5 19 -5 20 -4 19 -4 19 0 0 -4 19 -3 18 -3 19 -3 17 -3 18 -2 17 -2 18 -2 17 -2 17 -1 16 -1 16 0 16 0 16 0 16 0 15 0 16 1 15 1 15 1 15 1 14 1 14 1 14 1 13 2 13 2 13 1 13 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2671248,0,84,0,0,2.86712,384,[84 -64 4 0 0 0 0 0 0 0 0 0 21 8 22 9 22 10 22 10 21 10 21 11 20 12 19 11 19 11 19 12 19 12 19 12 19 12 18 12 18 12 18 12 18 12 17 12 18 12 17 12 17 12 17 11 16 11 17 11 17 11 16 11 0 0 16 10 16 10 16 9 15 9 16 9 16 8 15 8 16 8 15 7 15 7 15 6 15 6 15 6 15 6 15 5 15 5 15 5 15 5 14 5 14 4 14 4 13 4 13 3 14 3 13 3 12 3 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2681422,0,84,0,0,2.87272,384,[84 -64 4 0 0 0 0 0 0 0 0 0 3 23 2 24 2 24 1 24 1 24 0 24 0 23 0 23 -1 23 -1 24 -2 23 -2 23 -2 23 -2 22 -2 23 -2 22 -2 22 -3 21 -2 22 -2 21 -2 21 -2 21 -2 20 -2 20 -2 20 -2 20 0 0 -1 19 -1 19 -1 19 0 18 0 18 1 18 1 18 1 17 1 17 1 16 1 16 2 16 2 16 2 16 2 16 3 15 3 15 3 15 4 15 4 14 4 14 4 13 4 13 4 13 3 12 3 12 0 0 0 0 0 0 0 0 0 0 ]
CSI_DATA,AP,8C:CE:4E:99:4F:5C,-43,11,1,7,1,1,1,0,0,0,1,-96,0,6,1,2692398,0,84,0,0,2.88034,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -25 -3 -26 -4 -25 -4 -25 -5 -25 -6 -24 -6 -24 -7 -24 -7 -24 -8 -24 -8 -23 -8 -24 -8 -23 -8 -23 -8 -22 -9 -22 -9 -22 -9 -21 -8 -21 -9 -21 -8 -21 -8 -20 -9 -20 -8 -20 -8 -21 -8 -20 -7 0 0 -19 -7 -19 -6 -19 -6 -19 -5 -19 -6 -18 -6 -18 -5 -18 -4 -17 -5 -18 -4 -18 -3 -17 -3 -17 -3 -17 -2 -17 -2 -17 -2 -17 -2 -16 -2 -16 -2 -16 -1 -15 -1 -15 -1 -15 -1 -15 0 -14 0 -14 0 0 0 0 0 0 0 0 0 0 0 ]
