real_timestamp,Zone,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
1.57291,1,28,-64,1,0,0,0,0,0,0,0,0,0,-21,10,-21,10,-20,9,-22,9,-20,7,-21,7,-21,7,-21,6,-21,6,-21,6,-21,7,-22,7,-20,7,-21,6,-22,4,-20,4,-21,5,-18,4,-20,5,-20,2,-20,2,-21,0,-19,5,-20,4,-19,8,-19,3,0,0,-22,3,-21,1,-20,5,-18,6,-18,8,-20,5,-18,5,-20,3,-20,6,-20,6,-21,7,-20,7,-20,6,-20,5,-19,5,-21,5,-19,6,-20,6,-21,6,-19,6,-20,6,-20,6,-20,7,-20,8,-19,8,-20,7,0,0,0,0,0,0,0,0,0,0
1.57948,1,-99,-48,9,0,0,0,0,0,0,0,0,0,-21,5,-23,3,-22,3,-22,3,-22,1,-21,0,-22,2,-22,0,-21,1,-21,3,-21,2,-21,1,-21,2,-21,2,-21,2,-21,2,-22,0,-21,-2,-21,0,-21,2,-22,0,-21,1,-18,-4,-20,2,-22,2,-20,0,0,0,-20,-1,-20,1,-19,2,-20,0,-19,3,-22,3,-19,1,-21,5,-17,-3,-13,0,-19,4,-20,2,-21,3,-21,4,-20,3,-20,5,-20,6,-21,5,-20,5,-19,6,-20,6,-21,6,-20,6,-21,7,-20,6,-21,7,0,0,0,0,0,0,0,0,0,0
1.59764,1,-121,112,8,0,0,0,0,0,0,0,0,0,-8,-20,-7,-21,-6,-19,-7,-21,-6,-20,-5,-20,-4,-19,-5,-20,-4,-20,-5,-20,-4,-19,-4,-20,-4,-20,-4,-20,-5,-22,-4,-20,-3,-20,-3,-19,-3,-21,-3,-19,-2,-19,-2,-19,-3,-17,-3,-19,-3,-18,-3,-19,0,0,-4,-18,-3,-18,-4,-19,-2,-16,-5,-18,-4,-18,-4,-18,-4,-19,-5,-18,-5,-18,-6,-18,-7,-18,-5,-18,-5,-19,-5,-18,-3,-19,-6,-18,-6,-18,-6,-18,-9,-18,-7,-18,-7,-18,-7,-18,-6,-18,-8,-18,-8,-18,0,0,0,0,0,0,0,0,0,0
1.60897,1,-122,-31,23,0,0,0,0,0,0,0,0,0,21,1,20,2,21,2,20,2,20,2,20,3,19,4,19,4,19,4,18,4,19,4,19,4,19,4,19,4,18,5,19,5,18,6,17,5,17,6,18,6,17,6,17,5,16,5,17,5,17,5,17,5,0,0,17,5,17,4,18,4,17,4,17,3,17,4,17,4,17,4,16,4,18,4,17,2,17,3,17,2,18,3,18,2,18,2,18,2,18,2,19,3,18,2,18,2,18,2,18,1,18,0,18,0,18,0,0,0,0,0,0,0,0,0,0,0
1.63011,1,-122,-31,23,0,0,0,0,0,0,0,0,0,-6,4,-7,4,-7,4,-7,4,-7,3,-7,3,-7,4,-7,3,-6,3,-7,3,-7,3,-7,3,-7,3,-7,3,-7,2,-7,3,-7,3,-7,2,-7,2,-7,2,-6,2,-7,2,-7,2,-7,2,-6,2,-7,2,0,0,-6,2,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,3,-6,4,-6,4,-6,3,-6,4,-6,4,-6,3,-5,4,-6,4,-6,4,-6,4,-5,4,0,0,0,0,0,0,0,0,0,0
1.64961,1,82,-96,4,0,0,0,0,0,0,0,0,0,-4,14,-5,15,-4,14,-5,15,-6,15,-5,13,-6,14,-6,13,-6,13,-5,14,-5,14,-6,12,-6,12,-6,14,-7,14,-7,13,-8,13,-7,12,-8,13,-8,12,-7,12,-8,12,-7,11,-7,11,-7,12,-7,13,0,0,-7,12,-6,13,-6,12,-6,12,-7,11,-5,12,-6,12,-6,12,-5,13,-5,12,-4,12,-4,13,-5,13,-4,14,-4,13,-4,13,-4,14,-4,13,-4,14,-5,12,-5,13,-4,13,-4,14,-2,13,-3,13,-4,14,0,0,0,0,0,0,0,0,0,0
1.98669,1,82,-96,4,0,0,0,0,0,0,0,0,0,15,-7,15,-6,15,-6,15,-5,15,-5,13,-5,14,-4,14,-4,15,-3,15,-4,14,-3,13,-3,14,-3,14,-1,13,-3,14,-2,13,-2,13,-3,13,-2,12,-1,13,-1,13,-2,12,-2,13,-1,12,-2,12,-2,0,0,11,-2,11,-2,10,-2,11,-4,11,-3,12,-3,11,-3,11,-4,11,-4,10,-4,10,-4,10,-4,11,-4,11,-5,11,-5,11,-5,11,-6,11,-5,11,-6,11,-6,10,-5,10,-6,11,-6,11,-6,11,-7,11,-7,0,0,0,0,0,0,0,0,0,0
2.10579,1,82,-96,4,0,0,0,0,0,0,0,0,0,4,15,3,14,3,15,3,14,3,15,2,13,2,14,1,13,1,14,1,13,2,13,1,14,0,14,1,13,0,13,-1,13,0,12,0,13,0,13,0,12,0,12,-1,13,0,12,1,12,0,12,1,12,0,0,0,11,0,12,0,11,1,12,0,12,0,11,0,11,1,11,0,11,1,11,2,11,2,12,2,11,2,12,1,11,2,11,3,10,2,11,2,11,3,11,3,11,3,11,2,11,4,11,3,11,3,11,0,0,0,0,0,0,0,0,0,0
2.6126,1,82,-96,4,0,0,0,0,0,0,0,0,0,-17,-3,-17,-2,-17,-4,-16,-3,-16,-4,-16,-5,-16,-5,-15,-5,-16,-4,-15,-6,-16,-5,-16,-5,-16,-5,-14,-5,-15,-5,-15,-6,-15,-5,-14,-6,-15,-6,-14,-5,-14,-6,-14,-5,-14,-6,-13,-6,-13,-5,-14,-5,0,0,-13,-4,-14,-4,-14,-4,-13,-3,-13,-4,-14,-4,-14,-4,-14,-3,-13,-4,-14,-3,-14,-2,-15,-3,-13,-2,-14,-2,-14,-2,-14,-1,-13,-1,-14,-1,-14,-1,-14,-1,-14,0,-14,-1,-14,0,-14,0,-15,0,-15,0,0,0,0,0,0,0,0,0,0,0
2.66361,1,82,-96,4,0,0,0,0,0,0,0,0,0,-9,-15,-8,-16,-7,-16,-7,-16,-7,-16,-6,-16,-5,-15,-5,-15,-5,-16,-5,-15,-5,-15,-5,-15,-4,-16,-5,-15,-4,-16,-4,-15,-4,-15,-4,-14,-4,-15,-4,-15,-4,-15,-4,-14,-4,-14,-4,-14,-4,-14,-4,-14,0,0,-4,-14,-4,-13,-4,-13,-4,-13,-5,-13,-5,-13,-5,-13,-5,-13,-5,-12,-5,-12,-6,-13,-7,-13,-6,-12,-6,-13,-6,-12,-7,-12,-7,-12,-7,-13,-7,-12,-7,-12,-8,-12,-7,-13,-7,-12,-8,-13,-8,-12,-9,-12,0,0,0,0,0,0,0,0,0,0
