real_timestamp,Zone,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
3.19178,1,82,-96,4,0,0,0,0,0,0,0,0,0,-3,21,-4,21,-6,20,-6,21,-6,19,-6,19,-7,18,-8,17,-8,17,-7,16,-7,16,-7,16,-7,14,-6,15,-7,14,-6,14,-6,13,-5,12,-5,13,-5,12,-5,12,-4,11,-3,11,-3,12,-2,11,-2,11,0,0,-2,11,-1,10,-1,11,0,10,0,10,0,10,1,10,1,9,0,8,2,8,2,8,2,7,2,7,2,7,3,5,3,6,3,5,3,4,3,4,4,3,4,2,4,2,4,1,5,0,5,-1,5,-1,0,0,0,0,0,0,0,0,0,0
3.2474,1,82,-96,4,0,0,0,0,0,0,0,0,0,-14,-16,-14,-17,-12,-17,-11,-18,-10,-18,-10,-18,-10,-17,-9,-17,-8,-17,-7,-17,-7,-16,-7,-16,-6,-16,-6,-14,-6,-13,-6,-13,-6,-13,-6,-12,-6,-11,-6,-11,-6,-10,-7,-11,-6,-10,-7,-10,-7,-9,-7,-9,0,0,-8,-7,-8,-7,-7,-7,-8,-6,-8,-6,-8,-6,-8,-5,-8,-5,-7,-4,-8,-5,-7,-3,-7,-3,-7,-3,-6,-2,-6,-1,-6,-1,-6,0,-6,0,-6,1,-6,2,-4,2,-5,3,-5,3,-4,4,-4,4,-3,5,0,0,0,0,0,0,0,0,0,0
3.25938,1,37,80,2,0,0,0,0,0,0,0,0,0,-18,-18,-16,-19,-16,-19,-15,-20,-14,-19,-13,-20,-12,-20,-11,-20,-10,-19,-9,-18,-10,-18,-9,-17,-9,-17,-9,-15,-8,-14,-8,-14,-7,-13,-7,-12,-8,-12,-8,-12,-8,-11,-8,-11,-8,-10,-9,-9,-9,-9,-10,-9,0,0,-8,-7,-9,-7,-9,-6,-9,-5,-9,-5,-10,-5,-9,-5,-9,-5,-9,-4,-9,-4,-9,-3,-8,-1,-9,-2,-8,-2,-8,-1,-7,0,-6,1,-7,1,-6,1,-4,2,-6,3,-4,4,-5,5,-4,6,-4,6,-3,7,0,0,0,0,0,0,0,0,0,0
3.26577,1,37,80,2,0,0,0,0,0,0,0,0,0,-11,38,-11,37,-12,34,-16,37,-14,32,-16,31,-16,29,-17,32,-20,28,-17,27,-15,28,-17,25,-15,27,-15,24,-13,23,-13,23,-12,21,-11,20,-13,19,-11,18,-8,18,-9,19,-8,16,-7,19,-5,18,-5,19,0,0,-4,15,-2,16,0,18,-4,17,1,17,-2,14,3,15,-1,18,3,8,7,10,3,14,3,13,3,7,2,11,5,10,7,8,6,9,6,7,5,6,6,3,9,3,8,3,9,1,9,1,12,-1,12,-2,0,0,0,0,0,0,0,0,0,0
3.27131,1,84,-64,4,0,0,0,0,0,0,0,0,0,19,3,19,5,19,5,19,6,18,6,17,7,17,8,16,8,16,7,14,8,13,8,14,7,13,7,12,6,11,6,12,6,11,6,10,5,10,4,11,4,10,3,10,3,10,3,10,3,10,2,9,1,0,0,9,1,9,1,9,-1,8,-1,8,0,8,-1,8,-1,7,-2,6,-2,6,-2,6,-2,6,-2,5,-3,5,-3,5,-3,4,-4,4,-4,3,-5,3,-4,2,-4,1,-5,0,-6,0,-6,-1,-7,-1,-6,-2,-7,0,0,0,0,0,0,0,0,0,0
3.27638,1,84,-64,4,0,0,0,0,0,0,0,0,0,-18,9,-18,8,-19,8,-19,7,-19,6,-18,5,-18,4,-18,4,-17,3,-17,3,-16,3,-16,2,-16,3,-14,3,-14,2,-13,2,-13,2,-12,3,-11,3,-12,3,-12,3,-11,4,-10,3,-10,4,-9,4,-9,5,0,0,-8,5,-8,5,-8,5,-6,5,-7,6,-7,5,-7,6,-6,5,-5,5,-5,5,-5,6,-4,6,-3,5,-3,5,-2,5,-2,5,-1,6,-1,4,0,5,0,4,1,4,2,5,3,4,4,4,4,4,5,4,0,0,0,0,0,0,0,0,0,0
3.28165,1,84,-64,4,0,0,0,0,0,0,0,0,0,-15,-14,-14,-16,-13,-16,-13,-18,-11,-16,-11,-16,-10,-15,-10,-16,-9,-16,-8,-15,-8,-15,-7,-14,-7,-14,-6,-14,-7,-13,-6,-12,-6,-13,-7,-12,-6,-11,-8,-9,-8,-9,-6,-9,-7,-9,-6,-8,-6,-8,-7,-8,0,0,-7,-7,-7,-6,-7,-6,-7,-5,-8,-5,-8,-5,-7,-5,-8,-4,-6,-4,-7,-3,-7,-3,-7,-2,-6,-2,-6,-2,-6,-1,-6,0,-5,1,-5,1,-5,1,-5,2,-4,3,-5,3,-4,4,-4,5,-4,5,-4,7,0,0,0,0,0,0,0,0,0,0
3.28748,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,12,-8,13,-9,12,-9,12,-9,11,-9,10,-10,9,-9,8,-9,8,-9,8,-9,7,-9,7,-9,7,-9,6,-8,6,-8,6,-7,6,-6,5,-6,5,-6,5,-5,5,-5,6,-5,5,-5,6,-5,6,-4,6,0,0,-4,5,-3,5,-3,5,-2,5,-3,5,-2,5,-2,5,-1,4,-2,5,-1,4,-1,4,-1,4,-1,4,0,4,0,3,0,3,2,3,1,3,2,3,2,1,3,2,3,2,3,1,4,1,4,1,5,1,0,0,0,0,0,0,0,0,0,0
3.29251,1,84,-64,4,0,0,0,0,0,0,0,0,0,-29,-24,-28,-26,-26,-26,-26,-28,-23,-27,-22,-28,-21,-28,-18,-28,-17,-27,-17,-26,-17,-25,-16,-24,-16,-23,-14,-22,-13,-21,-13,-19,-13,-19,-12,-17,-14,-17,-13,-16,-13,-14,-13,-14,-12,-13,-15,-12,-14,-11,-15,-11,0,0,-14,-9,-14,-8,-15,-9,-13,-7,-14,-6,-14,-6,-14,-5,-13,-4,-13,-4,-13,-3,-13,-2,-12,-2,-12,-1,-11,1,-10,1,-11,2,-9,3,-9,4,-8,5,-8,6,-7,8,-7,8,-6,9,-5,11,-5,12,-4,13,0,0,0,0,0,0,0,0,0,0
3.29887,1,84,-64,4,0,0,0,0,0,0,0,0,0,-4,17,-5,16,-6,16,-6,16,-6,15,-7,14,-8,14,-7,13,-7,12,-8,12,-7,12,-7,11,-8,10,-6,10,-6,9,-6,9,-5,9,-6,9,-4,8,-4,8,-4,8,-4,8,-3,7,-4,8,-3,7,-2,8,0,0,-2,7,-1,7,-1,7,-1,6,0,7,0,6,0,6,0,6,0,6,1,5,1,5,1,5,2,4,1,4,2,3,2,3,3,3,3,1,4,2,3,1,5,1,5,1,6,0,6,0,6,-1,6,-1,0,0,0,0,0,0,0,0,0,0
